Tweet ID,Text,Created at,Like count,Retweet count,Reply count,User,User Location,User Followers Count
1668301641777393667,"Government Malik Akar, Executive Secretary of IGAD Workneh Gebeyehu and African Union Commission Chairperson @AUC_MoussaFaki were also in the session. https://t.co/Vc1EOhsng4",2023-06-12 16:58:01+00:00,175,35,0,WilliamsRuto,Kenya,5982032
1668301638363230210,Deputy President of the Transitional Sovereignty Council of the Republic of Sudan and Representative of the Chairperson of the IGAD Assembly of Heads of State and... https://t.co/6CHb9qBeJV,2023-06-12 16:58:00+00:00,185,40,0,WilliamsRuto,Kenya,5982032
1668301634710151169,"Present were presidents @IsmailOguelleh (Djibouti), Salva Kiir (South Sudan), @HassanSMohamud  (Somalia) and Prime Minister of Ethiopia Abiy Ali. https://t.co/JD4DEVcCEj",2023-06-12 16:57:59+00:00,203,30,0,WilliamsRuto,Kenya,5982032
1668301630477938697,In Djibouti during the 14th Ordinary meeting of the Intergovernmental Authority on Development (IGAD) Assembly of Heads of State and Government where Djibouti was picked as the new chair of IGAD. https://t.co/L5DX03dZGL,2023-06-12 16:57:58+00:00,150,26,0,WilliamsRuto,Kenya,5982032
1668237518637072386,"THE SECOND VULTURE:
""In the 1990's there was a widely circulated photo of a vulture waiting for a starving little girl to die and feast on her corp. That photo was taken during the 1993/94 famine in Sudan, by Kevin Carter, a South African photojournalist, who later won the… https://t.co/tfwOLLvrLt",2023-06-12 12:43:13+00:00,4147,1021,0,WilliamsRuto,Kenya,5982032
1667864159466168320,"Challenged the MPs to give voice to the philosophy of solving Africa’s problems through African solutions via legislation and policymaking infused with expertise, skills and insights. https://t.co/MSs7TTzpju",2023-06-11 11:59:37+00:00,348,58,0,WilliamsRuto,Kenya,5982032
1667864156383346688,During an address to National Assembly of Djibouti in Djibouti. https://t.co/AfGTJp8oQ9,2023-06-11 11:59:36+00:00,413,61,0,WilliamsRuto,Kenya,5982032
1667864153422266374,"To safeguard the well-being of the people, Members of Parliament must generate bold policies and innovative solutions that will take the continent forward. https://t.co/tNVCwtzGho",2023-06-11 11:59:36+00:00,187,29,0,WilliamsRuto,Kenya,5982032
1667864150725230592,Parliaments are Africa’s key platforms for deliberation on issues of our time. https://t.co/3vmH1ecP4r,2023-06-11 11:59:35+00:00,1463,196,0,WilliamsRuto,Kenya,5982032
1667828296841568256,"Agreed to establish the Kenya-Djibouti business council, abolish visa requirements for Djibouti people visiting Kenya and build synergy on tourism and hospitality. https://t.co/lphOQQHRGk",2023-06-11 09:37:07+00:00,528,84,0,WilliamsRuto,Kenya,5982032
